"added","datetime","NO","","",""
"colour","varchar(12)","YES","","",""
"customer_id","int(10) unsigned","NO","","",""
"customer_region_id","int(10) unsigned","YES","","",""
"deleted","enum('yes','no')","NO","","no",""
"id","int(10) unsigned","NO","PRI","","auto_increment"
"moved_to_orders","enum('yes','no')","NO","","no",""
"product_id","int(10) unsigned","NO","","",""
"quantity","int(10) unsigned","NO","","",""
"session_id","varchar(255)","NO","","",""
"size","varchar(20)","YES","","",""
"txn_id","int(10) unsigned","YES","","",""
