"category_1","varchar(20)","NO","","",""
"category_2","varchar(20)","NO","","",""
"category_3","varchar(20)","NO","","",""
"colour","varchar(100)","NO","","",""
"description","varchar(50)","NO","","",""
"full_description","text","NO","","",""
"id","int(10) unsigned","NO","PRI","","auto_increment"
"image_name","varchar(100)","NO","","",""
"keywords","varchar(400)","NO","","",""
"meta_description","varchar(400)","NO","","",""
"meta_keywords","varchar(400)","NO","","",""
"new","enum('Y','N')","NO","","",""
"product_id","varchar(15)","NO","UNI","",""
"shop_product_id","int(10) unsigned","YES","","",""
"site_id","int(3)","NO","","",""
"size","varchar(100)","NO","","",""
"special","enum('Y','N')","NO","","",""
"supplier_code","varchar(16)","NO","","",""
"synched_with_shop","enum('Yes','No')","NO","","No",""
"tax_rate","decimal(5,2) unsigned","NO","","",""
"top","enum('Y','N')","NO","","",""
"unit_price","decimal(7,2) unsigned","NO","","",""
"visible","enum('Y','N')","NO","","",""
"weight","decimal(3,2)","NO","","",""
